"TOA5","LTER_M1 IP","CR1000","E9189","CR1000.Std.27.04","CPU:LTER - M1 - 171123.CR1","12812","M1"
"TIMESTAMP","RECORD","Batt_V_Avg","Log_T_Avg","Wind_Dir","Wind_Speed_Avg","Wind_Speed_Max","Wind_Speed_Std","Wind_SmplsF_Tot","Wind_Diag1F_Tot","Wind_Diag2F_Tot","Wind_Diag4F_Tot","Wind_Diag8F_Tot","Wind_Diag9F_Tot","Wind_Diag10F_Tot","Wind_NNDF_Tot","Air_T_Avg","Air_T_Std","Air_RH_Avg","Air_RH_Std","Precip_Tot","SWC_P_02_Avg","SWC_P_02_Std","SWC_WC_02_Avg","SWC_WC_02_Std","SWC_ST_02_Avg","SWC_ST_02_Std","SWC_P_05_Avg","SWC_P_05_Std","SWC_WC_05_Avg","SWC_WC_05_Std","SWC_ST_05_Avg","SWC_ST_05_Std","SWC_P_20_Avg","SWC_P_20_Std","SWC_WC_20_Avg","SWC_WC_20_Std","SWC_ST_20_Avg","SWC_ST_20_Std","SWP_WP_05_Avg","SWP_WP_05_Std","SWP_ST_05_Avg","SWP_ST_05_Std","SWP_WP_20_Avg","SWP_WP_20_Std","SWP_ST_20_Avg","SWP_ST_20_Std","SR_SW_Avg","SR_SW_Std","PAR_Up_Avg","PAR_Up_Std","PAR_Soil_Avg","PAR_Soil_Std"
"TS","RN","Volts","Deg C","degrees","meters/Second","meters/Second","meters/Second","","","","","","","","","Deg C","Deg C","%","%","mm","unitless","unitless","m^3/m^3","m^3/m^3","Deg C","Deg C","unitless","unitless","m^3/m^3","m^3/m^3","Deg C","Deg C","unitless","unitless","m^3/m^3","m^3/m^3","Deg C","Deg C","kPa","kPa","Deg C","Deg C","kPa","kPa","Deg C","Deg C","W/m2","W/m2","umol/m2s1","umol/m2s1","umol/m2s1","umol/m2s1"
"","","Avg","Avg","Smp","Avg","Max","Std","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Avg","Std","Avg","Std","Tot","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std"
"2017-11-23 15:00:00",0,14.23,5.077,181,1.672,2.68,0.617,11,0,0,0,0,0,0,0,3.146,0.084,70.32,0.879,0,13.9289,0.001,0.2586182,0,7.033,0.023,16.8923,0.022,0.3040273,0,4.661,0.028,12.46973,0.001,0.2339091,0,3.641,0.027,-12.39,0.02874781,4.418,0.072,-17.33636,0.077,4.1,0,2289,166.4,386.1,15.52,48.36,2.218
"2017-11-23 15:15:00",1,14.23,5.162,217,1.543,2.8,0.645,15,0,0,0,0,0,0,0,2.862,0.133,72.06,0.471,0,13.92831,0,0.2586,0,7.024,0.027,16.87096,0.011,0.30374,0,4.716,0.022,12.46978,0.001,0.2339067,0,3.675,0.027,-12.37,0.04422141,4.633,0.06,-17.34667,0.072,4.1,0,2819,125.4,322.5,51.29,29.57,6.821
"2017-11-23 15:15:00",1,14.23,5.162,217,1.543,2.8,0.645,15,0,0,0,0,0,0,0,2.862,0.133,72.06,0.471,0,13.92831,0,0.2586,0,7.024,0.027,16.87096,0.011,0.30374,0,4.716,0.022,12.46978,0.001,0.2339067,0,3.675,0.027,-12.37,0.04422141,4.633,0.06,-17.34667,0.072,4.1,0,2819,125.4,322.5,51.29,29.57,6.821
"2017-11-23 15:30:00",2,14.2,5.437,221,1.627,2.04,0.38,15,0,0,0,0,0,0,0,2.214,0.244,74.2,0.979,0,13.92861,0.001,0.2586,0,6.948,0.037,16.86778,0,0.3037,0,4.756,0.009,12.46947,0,0.2339,0,3.705,0.018,-12.33,0.04714018,4.793,0.057,-17.37333,0.057,4.1,0,3111,61.37,173.1,24.98,19.03,0.68
"2017-11-23 15:45:00",3,14.22,4.96,75,0.914,1.79,0.484,15,0,0,0,0,0,0,0,1.842,0.233,76.33,0.941,0,13.92369,0.014,0.2585267,0,6.776,0.06,16.86739,0,0.3037,0,4.768,0.021,12.46953,0,0.2339067,0,3.741,0.031,-12.31,0.03399327,4.927,0.044,-17.41333,0.05,4.1,0,3261,37.04,144.3,14.4,18.24,0.975
"2017-11-23 16:00:00",4,14.15,4.504,48,0.797,1.27,0.225,15,0,0,0,0,0,0,0,1.242,0.171,78.4,0.866,0,13.92913,0.001,0.2586133,0,6.535,0.079,16.86752,0,0.3037,0,4.739,0.013,12.46921,0.001,0.2339,0,3.775,0.033,-12.3,0,5,0,-17.39333,0.044,4.2,0,3363,30.33,81.5,13.46,11.33,2.209
"2017-11-23 16:15:00",5,13.6,3.956,24,0.867,1.28,0.275,15,0,0,0,0,0,0,0,1.267,0.106,77.43,0.292,0,13.9298,0,0.2586533,0,6.285,0.073,16.90637,0.015,0.30422,0,4.697,0.02,12.46911,0.001,0.2339,0,3.816,0.027,-12.28,0.04000015,5.1,0,-17.12667,0.349,4.2,0,3374,7.386,49.17,8.61,6.911,1.451
"2017-11-23 16:30:00",6,13.31,3.437,7,1.167,1.57,0.218,15,0,0,0,0,0,0,0,1.688,0.269,73.74,2.549,0,13.93031,0.001,0.2586733,0,6.033,0.068,16.91277,0,0.3043,0,4.63,0.025,12.46908,0.001,0.2339,0,3.865,0.032,-12.21,0.03399358,5.1,0,-16.73333,0.474,4.2,0,3288,62.07,22.55,6.032,3.286,1.312
