TOA5,MONALISA_domef2000 router IP,CR1000,E8811,CR1000.Std.27.04,CPU:171108_MONALISA Router Station - Hourly.CR1,4796,MeteoVal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,Batt_V_Avg,Log_T_Avg,SWC_P_02_Avg,SWC_P_02_Std,SWC_WC_02_Avg,SWC_WC_02_Std,SWC_ST_02_Avg,SWC_ST_02_Std,SWC_P_05_Avg,SWC_P_05_Std,SWC_WC_05_Avg,SWC_WC_05_Std,SWC_ST_05_Avg,SWC_ST_05_Std,SWC_P_20_Avg,SWC_P_20_Std,SWC_WC_20_Avg,SWC_WC_20_Std,SWC_ST_20_Avg,SWC_ST_20_Std,PAR_Up_Avg,PAR_Up_Std,PAR_Soil_Avg,PAR_Soil_Std,NDVI_Up_Red_Avg,NDVI_Up_Red_Std,NDVI_Up_NIR_Avg,NDVI_Up_NIR_Std,NDVI_Dn_Red_Avg,NDVI_Dn_Red_Std,NDVI_Dn_NIR_Avg,NDVI_Dn_NIR_Std,NDVI_Ind1_Avg,NDVI_Ind2_Avg,NDVI_Avg,NDVI_Std,PRI_Up_Green_Avg,PRI_Up_Green_Std,PRI_Up_Yellow_Avg,PRI_Up_Yellow_Std,PRI_Dn_Green_Avg,PRI_Dn_Green_Std,PRI_Dn_Yellow_Avg,PRI_Dn_Yellow_Std,PRI_Ind1_Avg,PRI_Ind2_Avg,PRI_Avg,PRI_Std
TS,RN,Volts,Deg C,unitless,unitless,m^3/m^3,m^3/m^3,Deg C,Deg C,unitless,unitless,m^3/m^3,m^3/m^3,Deg C,Deg C,unitless,unitless,m^3/m^3,m^3/m^3,Deg C,Deg C,umol/m2s1,umol/m2s1,umol/m2s1,umol/m2s1,W/m^2 nm,W/m^2 nm,W/m^2 nm,W/m^2 nm,W/m^2 nm sr,W/m^2 nm sr,W/m^2 nm sr,W/m^2 nm sr,,,,,W/m^2 nm,W/m^2 nm,W/m^2 nm,W/m^2 nm,W/m^2 nm sr,W/m^2 nm sr,W/m^2 nm sr,W/m^2 nm sr,,,,
,,Avg,Avg,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Avg,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Avg,Avg,Std
2017-11-08 15:15:00,0,13.27,7.891,24.7728,0,0.3982,0,1.806,0.024,31.50044,0,0.4555,0,2.015,0.026,30.76627,0,0.45,0,3.246,0.01,58.74,1.475,0,0,0.0945625,0.003,0.086675,0.002,0.0186125,0,0.016725,0.001,2,1,-0.01,0.014,0.13615,0.003,0.0755375,0.002,0.014375,0.001,0.006625,0,2,1,-0.092,0.029
2017-11-08 15:30:00,1,13.42,6.627,24.77281,0,0.3982,0,1.815,0.018,31.50051,0,0.4555,0,2.002,0.025,30.76635,0,0.45,0,3.253,0.025,59.48,3.906,0,0,0.1043467,0.007,0.09633333,0.007,0.02032667,0.001,0.01870667,0.001,2,1,-0.001,0.008,0.1432267,0.009,0.08083333,0.005,0.01517333,0.001,0.007026666,0,2,1,-0.099,0.023
2017-11-08 15:45:00,2,13.42,5.469,24.7728,0,0.3982,0,1.814,0.016,31.50052,0,0.4555,0,2.026,0.032,30.76628,0,0.45,0,3.254,0.018,49.04,2.081,0,0,0.09057999,0.005,0.08414,0.005,0.01776,0.001,0.01665333,0.001,2,1,0.004,0.012,0.12198,0.005,0.06789999,0.003,0.01304,0,0.005833333,0,2,1,-0.109,0.022
2017-11-08 16:00:00,3,13.36,4.609,24.7728,0,0.3982,0,1.814,0.024,31.50064,0,0.4555,0,2.014,0.029,30.76628,0,0.45,0,3.253,0.027,36.1,4.941,0,0,0.07163333,0.01,0.06782666,0.009,0.01391333,0.002,0.01336667,0.002,2,1,0.007,0.01,0.09530666,0.011,0.05222,0.007,0.01002667,0.001,0.004666667,0.001,2,1,-0.081,0.029
2017-11-08 16:15:00,4,13.07,3.911,24.7728,0,0.3982,0,1.802,0.023,31.50053,0,0.4555,0,2.004,0.017,30.76637,0,0.45,0,3.262,0.027,20.89,3.488,0,0,0.03723999,0.007,0.03446667,0.007,0.007426666,0.001,0.006853333,0.001,2,1,-0.002,0.022,0.05848,0.009,0.02913333,0.005,0.00612,0.001,0.002486666,0.001,2,1,-0.104,0.078
2017-11-08 16:30:00,5,13.23,2.996,24.77281,0,0.3982,0,1.811,0.023,31.50047,0,0.4555,0,2.011,0.031,30.76631,0,0.45,0,3.253,0.021,13.17,2.744,0,0,0.01932,0.004,0.0182,0.004,0.00398,0.001,0.00368,0.001,2,1,-0.008,0.056,0.03451333,0.006,0.01526,0.004,0.003366667,0.001,0.0013,0,2,1,-0.081,0.104
2017-11-08 16:45:00,6,13.21,2.189,24.77281,0,0.3982,0,1.811,0.02,31.50044,0,0.4555,0,2.002,0.028,30.76635,0,0.45,0,3.249,0.023,5.905,1.954,0,0,0.009473333,0.003,0.009553333,0.002,0.001846667,0.001,0.001873333,0,2,1,0.003,0.066,0.01725333,0.004,0.007426666,0.003,0.00164,0.001,0.00052,0,2,1,-0.183,0.272
2017-11-08 17:00:00,7,13.17,1.473,24.7728,0,0.3982,0,1.809,0.015,31.50057,0,0.4555,0,2.012,0.022,30.76624,0,0.45,0,3.251,0.026,1.136,1.606,0,0,0.002666667,0.001,0.003033333,0.001,0.00052,0,0.0005733333,0,2,1,0.074,0.431,0.00592,0.003,0.002066667,0.001,0.0004466666,0,0.00014,0,2,1,-0.323,0.724
