TOA5,HiResAlp_I1 IP by B2,CR1000,E8768,CR1000.Std.27.04,CPU:150901_ModemStation.CR1,10337,MeteoVal,,,,,,,,,,,,
TIMESTAMP,RECORD,BattV_Avg,PTemp_C_Avg,SWC_02_Avg,SWC_02_Std,ST_02_Avg,ST_02_Std,SWC_05_Avg,SWC_05_Std,ST_05_Avg,ST_05_Std,SWC_20_Avg,SWC_20_Std,ST_20_Avg,ST_20_Std,PARup_Avg,PARup_Std,PARdn_Avg,PARdn_Std
TS,RN,Volts,Deg C,m^3/m^3,m^3/m^3,Deg C,Deg C,m^3/m^3,m^3/m^3,Deg C,Deg C,m^3/m^3,m^3/m^3,Deg C,Deg C,umol/m2s1,umol/m2s1,umol/m2s1,umol/m2s1
,,Avg,Avg,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std
2015-12-03 14:30:00,8944,13.97,17.48,0.3198,0,4.288,0.031,0.4317,0,4.406,0.047,0.4056,0,2.364,0.021,506.3,16.84,449.6,35.15
2015-12-03 14:45:00,8945,13.97,17.55,0.3198,0,4.358,0.031,0.4317133,0,4.525,0.035,0.4056,0,2.38,0.024,442.8,19.67,354,29.68
2015-12-03 15:00:00,8946,14.01,17.17,0.3198,0,4.408,0.028,0.43162,0,4.605,0.038,0.4056,0,2.401,0.014,377.4,19.53,282.1,32.86
2015-12-03 15:15:00,8947,14.02,16.81,0.3198,0,4.451,0.023,0.4313,0,4.686,0.028,0.4056,0,2.419,0.022,311.4,18.31,200.2,24.11
2015-12-03 15:30:00,8948,14.02,16.48,0.3198,0,4.449,0.021,0.4313,0,4.723,0.035,0.4056,0,2.438,0.02,243.7,17.26,123.7,15.8
2015-12-03 15:45:00,8949,14.03,15.96,0.3198,0,4.429,0.021,0.4313,0,4.767,0.017,0.4056,0,2.465,0.022,180.2,18.83,76.03,10.88
2015-12-03 16:00:00,8950,14.08,15.28,0.3198,0,4.391,0.017,0.4313,0,4.768,0.029,0.4056,0,2.496,0.025,117.6,17.26,43.8,7.749
2015-12-03 16:15:00,8951,13.99,14.37,0.3198,0,4.324,0.037,0.4313,0,4.777,0.023,0.4056,0,2.527,0.025,61.51,14.36,23.38,5.105
2015-12-03 16:30:00,8952,13.69,12.98,0.3198,0,4.218,0.042,0.4313,0,4.747,0.026,0.4056,0,2.548,0.024,21.11,8.45,12.26,3.688
2015-12-03 16:45:00,8953,13.42,10.84,0.3198,0,4.093,0.059,0.4313,0,4.71,0.028,0.4056,0,2.578,0.02,3.405,2.78,2.27,2.381
2015-12-03 17:00:00,8954,13.29,8.4,0.3198,0,3.938,0.053,0.4313,0,4.643,0.03,0.4056,0,2.614,0.019,-1.59,1.699,-0.227,0.85
2015-12-03 17:15:00,8955,13.23,6.299,0.31976,0,3.754,0.056,0.4314333,0,4.567,0.038,0.4056,0,2.635,0.018,-3.407,0,-1.59,1.7
2015-12-03 17:30:00,8956,13.19,4.791,0.31924,0,3.578,0.053,0.4317,0,4.477,0.031,0.4056,0,2.666,0.021,-3.407,0,-1.817,1.7
2015-12-03 17:45:00,8957,13.17,3.687,0.3192,0,3.392,0.059,0.4317,0,4.377,0.042,0.4056,0,2.705,0.019,-3.408,0,-0.454,1.158
2015-12-03 18:00:00,8958,13.17,2.855,0.3192,0,3.221,0.038,0.4317,0,4.261,0.035,0.4056,0,2.734,0.019,-3.408,0,-0.682,1.363
2015-12-03 18:15:00,8959,13.14,2.159,0.3192,0,3.041,0.054,0.4317,0,4.152,0.03,0.4056,0,2.755,0.023,-3.408,0,-1.136,1.607
2015-12-03 18:30:00,8960,13.12,1.699,0.3192,0,2.897,0.048,0.4317,0,4.046,0.035,0.4056,0,2.778,0.02,-3.408,0,-0.227,0.85
2015-12-03 18:45:00,8961,13.11,1.201,0.3192,0,2.772,0.054,0.4317,0,3.927,0.039,0.4056,0,2.805,0.018,-3.408,0,-1.363,1.67
2015-12-03 19:00:00,8962,13.11,0.799,0.3192,0,2.618,0.038,0.4317,0,3.82,0.036,0.4056,0,2.834,0.018,-3.408,0,-0.909,1.507
2015-12-03 19:15:00,8963,13.09,0.506,0.3192,0,2.493,0.036,0.4317,0,3.711,0.035,0.4056,0,2.854,0.025,-3.408,0,-0.909,1.507
2015-12-03 19:30:00,8964,13.08,0.357,0.3192,0,2.384,0.051,0.4317,0,3.601,0.037,0.4056,0,2.874,0.019,-3.408,0,-1.591,1.7
2015-12-03 19:45:00,8965,13.07,0.325,0.3192,0,2.282,0.039,0.4317,0,3.499,0.028,0.4056,0,2.896,0.017,-3.408,0,-0.682,1.363
2015-12-03 20:00:00,8966,13.08,0.272,0.3192133,0,2.189,0.031,0.4317,0,3.415,0.028,0.4056,0,2.905,0.018,-3.408,0,-0.909,1.507
2015-12-03 20:15:00,8967,13.06,0.299,0.3192067,0,2.109,0.027,0.4317,0,3.332,0.034,0.4056,0,2.924,0.018,-3.408,0,-1.591,1.7
