TOA5,LTER_M3 IP,CR1000,E9185,CR1000.Std.27.04,CPU:LTER - M3 - 171113.CR1,3438,M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,Batt_V_Avg,Log_T_Avg,Wind_Dir,Wind_Speed_Avg,Wind_Speed_Max,Wind_Speed_Std,Wind_SmplsF_Tot,Wind_Diag1F_Tot,Wind_Diag2F_Tot,Wind_Diag4F_Tot,Wind_Diag8F_Tot,Wind_Diag9F_Tot,Wind_Diag10F_Tot,Wind_NNDF_Tot,Air_T_Avg,Air_T_Std,Air_RH_Avg,Air_RH_Std,Precip_Tot,SWC_P_02_Avg,SWC_P_02_Std,SWC_WC_02_Avg,SWC_WC_02_Std,SWC_ST_02_Avg,SWC_ST_02_Std,SWC_P_05_Avg,SWC_P_05_Std,SWC_WC_05_Avg,SWC_WC_05_Std,SWC_ST_05_Avg,SWC_ST_05_Std,SWC_P_20_Avg,SWC_P_20_Std,SWC_WC_20_Avg,SWC_WC_20_Std,SWC_ST_20_Avg,SWC_ST_20_Std,SWP_WP_05_Avg,SWP_WP_05_Std,SWP_ST_05_Avg,SWP_ST_05_Std,SWP_WP_20_Avg,SWP_WP_20_Std,SWP_ST_20_Avg,SWP_ST_20_Std,SR_SW_Avg,SR_SW_Std,PAR_Up_Avg,PAR_Up_Std,PAR_Soil_Avg,PAR_Soil_Std,NDVI_Up_Red_Avg,NDVI_Up_Red_Std,NDVI_Up_NIR_Avg,NDVI_Up_NIR_Std,NDVI_Dn_Red_Avg,NDVI_Dn_Red_Std,NDVI_Dn_NIR_Avg,NDVI_Dn_NIR_Std,NDVI_Up_Tilt_Avg,NDVI_Dn_Tilt_Avg,NDVI_Avg,NDVI_Std,PRI_Up_Green_Avg,PRI_Up_Green_Std,PRI_Up_Yellow_Avg,PRI_Up_Yellow_Std,PRI_Dn_Green_Avg,PRI_Dn_Green_Std,PRI_Dn_Yellow_Avg,PRI_Dn_Yellow_Std,PRI_Up_Tilt_Avg,PRI_Dn_Tilt_Avg,PRI_Avg,PRI_Std
TS,RN,Volts,Deg C,degrees,meters/Second,meters/Second,meters/Second,,,,,,,,,Deg C,Deg C,%,%,mm,unitless,unitless,m^3/m^3,m^3/m^3,Deg C,Deg C,unitless,unitless,m^3/m^3,m^3/m^3,Deg C,Deg C,unitless,unitless,m^3/m^3,m^3/m^3,Deg C,Deg C,kPa,kPa,Deg C,Deg C,kPa,kPa,Deg C,Deg C,W/m2,W/m2,umol/m2s1,umol/m2s1,umol/m2s1,umol/m2s1,W/m^2 nm,W/m^2 nm,W/m^2 nm,W/m^2 nm,W/m^2 nm sr,W/m^2 nm sr,W/m^2 nm sr,W/m^2 nm sr,,,,,W/m^2 nm,W/m^2 nm,W/m^2 nm,W/m^2 nm,W/m^2 nm sr,W/m^2 nm sr,W/m^2 nm sr,W/m^2 nm sr,,,,
,,Avg,Avg,Smp,Avg,Max,Std,Tot,Tot,Tot,Tot,Tot,Tot,Tot,Tot,Avg,Std,Avg,Std,Tot,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Avg,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Avg,Avg,Std
2017-10-16 14:30:00,1050,13.81,22.14,184,2.489,3.14,0.41,15,0,0,0,0,0,0,0,14,0.253,33.41,NaN,0,20.76321,0.022,0.35466,0,11.85,0.02,37.34216,0,0.4944,0,7.066,0.036,31.09103,0,0.4524,0,4.895,0.018,-8,0,5.733,0.06,-5.5,0,5.2,0,1024,1.357,1062,22.06,5.351,0.581,0.6902667,0.011,0.5615799,0.008,0.01694667,0.001,0.02733333,0.001,2,1,0.329,0.005,0.8310999,0.014,0.6969467,0.012,0.01229333,0.001,0.009246666,0.001,2,1,-0.055,0.031
2017-10-16 14:45:00,1051,13.78,22.32,189,2.182,2.69,0.355,15,0,0,0,0,0,0,0,13.51,0.208,34.02,NaN,0,20.75,0,0.3545,0,11.91,0.015,37.34248,0,0.4944,0,7.136,0.035,31.09109,0,0.4524,0,4.92,0.021,-8,0,5.913,0.062,-5.5,0,5.2,0,1023,2.44,980,24.92,5.123,0,0.6502399,0.012,0.5343133,0.008,0.01516667,0,0.02415333,0,2,1,0.319,0.009,0.7783,0.016,0.6543266,0.014,0.01211333,0,0.008926665,0,2,1,-0.066,0.026
2017-10-16 15:00:00,1052,13.72,22.6,211,1.375,2.04,0.442,15,0,0,0,0,0,0,0,12.52,0.363,31.97,NaN,0,20.75016,0,0.3545,0,11.92,0.01,37.34279,0.001,0.4944,0,7.201,0.023,31.09108,0,0.4524,0,4.943,0.023,-7.98,0.04,6.133,0.047,-5.5,0,5.2,0,1013,3.195,556.8,383.4,2.846,1.484,0.3564533,0.276,0.29398,0.229,0.007873333,0.007,0.01224667,0.01,2,1,0.315,0.064,0.4343666,0.317,0.3615266,0.269,0.00654,0.005,0.004846666,0.004,2,1,-0.094,0.166
2017-10-16 15:15:00,1053,13.47,21.47,344,1.313,2.46,0.645,15,0,0,0,0,0,0,0,11.73,0.248,37.3,NaN,0,20.75076,0,0.3545,0,11.62,0.179,37.34293,0,0.4944,0,7.229,0.028,31.09101,0,0.4524,0,4.959,0.021,-7.953,0.05,6.26,0.049,-5.5,0,5.2,0,1035,18.56,100.5,0.848,1.708,0,0.03374,0.001,0.02622667,0.001,0.0011,0,0.001626667,0,2,1,0.311,0.101,0.06658,0.002,0.04689333,0.002,0.001366667,0,0.00074,0,2,1,-0.182,0.305
2017-10-16 15:30:00,1054,13.35,19.63,323,1.079,1.54,0.309,15,0,0,0,0,0,0,0,11.09,0.069,33.72,NaN,0,20.79421,0.017,0.35502,0,10.91,0.226,37.3003,0.03,0.4941333,0,7.24,0.024,31.09101,0,0.4524,0,4.983,0.023,-7.933,0.047,6.373,0.044,-5.5,0,5.28,0.04,1122,28.45,95.5,1.918,1.708,0,0.03168667,0.001,0.024,0.001,0.000953333,0,0.001593333,0,2,1,0.378,0.1,0.06244667,0.002,0.04379333,0.002,0.00122,0,0.000753333,0,2,1,-0.124,0.322
2017-10-16 15:45:00,1055,13.31,17.95,343,1.318,1.59,0.271,15,0,0,0,0,0,0,0,10.87,0.24,36.93,NaN,0,20.83749,0.022,0.35554,0,10.17,0.202,37.27915,0,0.494,0,7.241,0.019,31.09104,0,0.4524,0,5.015,0.021,-7.907,0.118,6.487,0.034,-5.5,0,5.3,0,1262,56.97,87.9,2.481,1.139,0.805,0.02852,0.001,0.01949333,0.001,0.00078,0,0.001333333,0,2,1,0.433,0.125,0.05769333,0.003,0.04003333,0.002,0.001026667,0,0.000633333,0,2,1,-0.158,0.403
2017-10-16 16:00:00,1056,13.3,16.54,310,1.149,1.72,0.319,15,0,0,0,0,0,0,0,10.49,0.243,34.85,NaN,0,20.89389,0.017,0.35622,0,9.54,0.174,37.27929,0,0.494,0,7.211,0.018,31.09105,0,0.4524,0,5.039,0.019,-7.913,0.034,6.567,0.047,-5.5,0,5.3,0,1444,40.62,79.16,2.765,0.569,0.805,0.02417333,0.001,0.01486,0.001,0.000713333,0,0.000873333,0,2,1,0.336,0.098,0.05176667,0.003,0.03582666,0.002,0.001013333,0,0.00048,0,2,1,-0.266,0.397
2017-10-16 16:15:00,1057,13.25,15.35,332,1.28,1.83,0.318,15,0,0,0,0,0,0,0,10.14,0.236,39.47,NaN,0,20.90088,0,0.3563,0,8.98,0.146,37.27893,0,0.494,0,7.156,0.027,31.09103,0,0.4524,0,5.061,0.019,-7.927,0.044,6.6,0,-5.5,0,5.34,0.049,1574,45.56,69.94,2.528,0.114,0.426,0.02014,0.001,0.01090667,0.001,6e-04,0,0.00066,0,2,1,0.354,0.271,0.04717333,0.003,0.03071333,0.002,0.00098,0.001,0.000333333,0,2,1,-0.415,0.494
