TOA5,LTER_M4_snow IP,CR1000,E9183,CR1000.Std.27.04,CPU:LTER - M4_Snow - 170802.CR1,4385,M4_snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,Batt_V_Avg,T_Log_Avg,Wind_Dir,Wind_Speed_Avg,Wind_Speed_Max,Wind_Speed_Std,Wind_SmplsF_Tot,Wind_Diag1F_Tot,Wind_Diag2F_Tot,Wind_Diag4F_Tot,Wind_Diag8F_Tot,Wind_Diag9F_Tot,Wind_Diag10F_Tot,Wind_NNDF_Tot,T_Air_Avg,T_Air_Std,RH,RH_Std,Precip_W_Int60_Avg,Precip_W_Int60_Std,Precip_W_Int60_Max,Precip_W_Int15_Tot,Precip_W_Int15_NRT_Tot,Precip_W_Int15_CK,Precip_W_BucketCont,Precip_W_BucketCont_NRT,Precip_W_Pluvio_Level,Precip_W_T_Cell_Avg,Precip_W_T_Cell_Std,Precip_W_T_ElectricUnit_Avg,Precip_W_T_ElectricUnit_Std,Precip_W_T_HeatRim_Avg,Precip_W_T_HeatRim_Std,Precip_W_SupplyV_Avg,Precip_W_SupplyV_Std,Precip_W_PluvioStat,Precip_W_HeatStat,SR50A_SnowDist0,SR50A_SnowDist0_Std,SR50A_SnowDepth,SR50A_SnowDepth_Std,SR50A_QualityVal,SR50A_QualityVal_Std,PAR_Tot_Avg,PAR_Tot_Std,PAR_Dif_Avg,PAR_Dif_Std,Sun_Count_Tot
TS,RN,Volts,Deg C,degrees,meters/Second,meters/Second,meters/Second,,,,,,,,,Deg C,Deg C,%,%,mm/h,mm/h,mm/h,mm/15min,mm/15min,mm,lt,lt,%,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Volts,Volts,,,m,m,m,m,,,umol/m^2s^1,umol/m^2s^1,umol/m^2s^1,umol/m^2s^1,min
,,Avg,Avg,Smp,Avg,Max,Std,Tot,Tot,Tot,Tot,Tot,Tot,Tot,Tot,Avg,Std,Smp,Std,Avg,Std,Max,Tot,Tot,Smp,Smp,Smp,Smp,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Smp,Smp,Smp,Std,Smp,Std,Smp,Std,Avg,Std,Avg,Std,Tot
1508160600,7197,12.61,24.79,221,2.281,3.56,0.576,15,0,0,0,0,0,0,0,17.85,0.107,30.19,1.2,0,0,0,0,0,0.18,5.188,5.189,17.3,20.25,0.088,20.78,0.04,25.56,0.08,12.6,0,0,0,1.985,0.002552544,0.01151538,0.002608392,202,3.774,891,18.87,96.7,0.766,15
1508161500,7198,12.62,24.74,229,2.256,3.57,0.591,15,0,0,0,0,0,0,0,17.86,0.153,32.04,1.302,0,0,0,0,0,0.18,5.188,5.188,17.29,20.2,0.082,20.65,0.05,25.57,0.068,12.6,0,0,0,1.983,0.001496672,0.01196194,0.001900507,204,2.351,837,12.25,94.2,0.82,15
1508162400,7199,12.63,24.93,231,1.775,2.65,0.473,15,0,0,0,0,0,0,0,17.9,0.173,33.99,1.058,0,0,0,0,0,0.18,5.186,5.187,17.29,20.27,0.114,20.76,0.049,25.83,0.249,12.6,0,0,0,1.979,0.001961869,0.01681042,0.002288946,217,3.525,778.5,19.66,91.2,1.089,15
1508163300,7200,12.63,25.01,222,2.115,3.04,0.534,15,0,0,0,0,0,0,0,17.77,0.09,33.94,0.811,0,0,0,0,0,0.18,5.185,5.186,17.29,20.27,0.068,20.73,0.047,25.39,0.209,12.6,0,0,0,1.985,0.002227108,0.01151538,0.002119127,216,4.224,705.6,21.55,88.9,0.83,15
1508164200,7201,12.62,25.05,232,1.471,2.4,0.515,15,0,0,0,0,0,0,0,17.49,0.155,34.77,0.677,0,0,0,0,0,0.18,5.184,5.184,17.28,20.24,0.114,20.62,0.04,24.85,0.088,12.6,0,0,0,1.992,0.004809269,0.005555868,0.004898005,197,4.123,625.9,24.44,86.2,1.36,15
1508165100,7202,12.62,25.21,185,1.551,2.85,0.676,15,0,0,0,0,0,0,0,17.05,0.182,37.75,0.981,0,0,0,0,0,0.18,5.183,5.183,17.28,20.12,0.105,20.4,0.115,24.5,0.32,12.59,0.025,0,0,1.993,0.002694858,0.00639677,0.002653254,196,6.789,539.6,25.33,81,2.293,15
1508166000,7203,12.62,25.34,258,1.199,2.14,0.462,15,0,0,0,0,0,0,0,17.15,0.16,37.29,0.581,0,0,0,0,0,0.18,5.182,5.182,17.27,20.03,0.101,20.11,0.034,23.83,0.1,12.6,0,0,0,1.999,0.00279999,-0.00135994,0.003056806,202,8.52,453.8,23.99,73.63,2.493,15
1508166900,7204,12.62,25.46,112,0.816,1.4,0.314,15,0,0,0,0,0,0,0,16.94,0.154,39.79,1.052,0,0,0,0,0,0.18,5.181,5.181,17.27,19.89,0.072,20.2,0,23.87,0.224,12.59,0.034,0,0,2.015,0.005662377,-0.01608515,0.005525463,184,7.606,366.6,26.48,65.88,2.486,15
1508167800,7205,12.59,25.14,71,1.023,1.62,0.364,15,0,0,0,0,0,0,0,16.35,1.135,52.49,3.594,0,0,0,0,0,0.18,5.18,5.18,17.27,19.75,0.225,19.66,0.47,21.37,1.842,12.59,0.025,0,0,2.017,0.002612799,-0.0150373,0.004286514,177,3.065,88.4,59.56,53.54,3.424,7
1508168700,7206,12.61,23.41,68,1.465,1.99,0.25,15,0,0,0,0,0,0,0,12.85,0.961,53.1,0.346,0,0,0,0,0,0.18,5.179,5.179,17.26,18.64,0.429,17.23,0.887,14.43,1.618,12.58,0.04,0,0,2.027,0.003442211,-0.01004243,0.002467155,181,6.361,44.6,2.461,44.07,2.462,0
1508169600,7207,12.62,21.2,68,1.467,2.39,0.384,15,0,0,0,0,0,0,0,11.73,0.112,52.15,0.708,0,0,0,0,0,0.18,5.178,5.178,17.26,16.79,0.607,14.51,0.596,10.82,0.699,12.57,0.047,0,0,2.029,0.001641121,-0.01170254,0.00166112,177,5.005,34.74,3.042,34.42,3.044,0
1508170500,7208,12.62,19.05,71,0.852,1.37,0.273,15,0,0,0,0,0,0,0,11.71,0.287,55.88,1.432,0,0,0,0,0,0.18,5.176,5.176,17.25,15.02,0.45,12.95,0.361,9.27,0.437,12.56,0.049,0,0,2.035,0.002080607,-0.01851439,0.002820078,176,3.754,22.55,3.63,22.77,3.511,0
1508171400,7209,12.6,17.16,70,1.072,1.47,0.173,15,0,0,0,0,0,0,0,11.53,0.966,60.8,1.749,0,0,0,0,0,0.18,5.174,5.175,17.25,13.6,0.36,11.7,0.378,7.9,0.453,12.56,0.049,0,0,2.037,0.001247231,-0.01792455,0.003717629,185,5.347,9.96,3.45,10.53,3.371,0
1508172300,7210,12.61,15.45,67,1.303,1.76,0.316,15,0,0,0,0,0,0,0,11.35,0.242,54.76,1.532,0,0,0,0,0,0.18,5.172,5.173,17.24,12.35,0.374,10.45,0.307,7,0.245,12.56,0.049,0,0,2.04,0.00104562,-0.02031684,0.000814085,180,4.176,1.75,1.273,2.727,1.098,0
1508173200,7211,12.6,13.96,81,1.322,2.25,0.447,15,0,0,0,0,0,0,0,10.85,0.367,59.18,1.47,0,0,0,0,0,0.18,5.17,5.17,17.23,11.31,0.225,9.69,0.144,6.593,0.148,12.56,0.061,0,0,2.042,0.0009568426,-0.02657104,0.00209276,176,5.524,0.307,0.128,1.705,0,0
