TOA5,HiResAlp_P2 IP,CR1000,E8795,CR1000.Std.27.04,CPU:P2_Hourly_171031.CR1,17058,P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,Batt_V_Min,T_Log_Avg,Wind_Dir,Wind_Speed_Avg,Wind_Speed_Max,Wind_Speed_Std,Wind_SmplsF_Tot,Wind_Diag1F_Tot,Wind_Diag2F_Tot,Wind_Diag4F_Tot,Wind_Diag8F_Tot,Wind_Diag9F_Tot,Wind_Diag10F_Tot,Wind_NNDF_Tot,T_air_Avg,T_air_Std,RH_Avg,RH_Std,Surf_Tbody_Avg,Surf_Tbody_Std,Surf_T0_Avg,Surf_T0_Std,Surf_T_Avg,Surf_T_Std,Precip_T_Int15_Tot,SWC_P_A_02_Avg,SWC_P_A_02_Std,SWC_WC_A_02_Avg,SWC_WC_A_02_Std,SWC_ST_A_02_Avg,SWC_ST_A_02_Std,SWC_P_A_05_Avg,SWC_P_A_05_Std,SWC_WC_A_05_Avg,SWC_WC_A_05_Std,SWC_ST_A_05_Avg,SWC_ST_A_05_Std,SWC_P_A_20_Avg,SWC_P_A_20_Std,SWC_WC_A_20_Avg,SWC_WC_A_20_Std,SWC_ST_A_20_Avg,SWC_ST_A_20_Std,SWC_P_B_02_Avg,SWC_P_B_02_Std,SWC_WC_B_02_Avg,SWC_WC_B_02_Std,SWC_ST_B_02_Avg,SWC_ST_B_02_Std,SWC_P_B_05_Avg,SWC_P_B_05_Std,SWC_WC_B_05_Avg,SWC_WC_B_05_Std,SWC_ST_B_05_Avg,SWC_ST_B_05_Std,SWC_P_B_20_Avg,SWC_P_B_20_Std,SWC_WC_B_20_Avg,SWC_WC_B_20_Std,SWC_ST_B_20_Avg,SWC_ST_B_20_Std,SWC_P_C_02_Avg,SWC_P_C_02_Std,SWC_WC_C_02_Avg,SWC_WC_C_02_Std,SWC_ST_C_02_Avg,SWC_ST_C_02_Std,SWC_P_C_05_Avg,SWC_P_C_05_Std,SWC_WC_C_05_Avg,SWC_WC_C_05_Std,SWC_ST_C_05_Avg,SWC_ST_C_05_Std,SWC_P_C_20_Avg,SWC_P_C_20_Std,SWC_WC_C_20_Avg,SWC_WC_C_20_Std,SWC_ST_C_20_Avg,SWC_ST_C_20_Std,PAR_Up_Avg,PAR_Up_Std,PAR_Soil_In_Avg,PAR_Soil_In_Std,PAR_Soil_Out_Avg,PAR_Soil_Out_Std,NDVI_Down_Red_Avg,NDVI_Down_Red_Std,NDVI_Down_NIR_Avg,NDVI_Down_NIR_Std,NDVI_Down_Tilt_Avg,PRI_Down_Green_Avg,PRI_Down_Green_Std,PRI_Down_Yellow_Avg,PRI_Down_Yellow_Std,PRI_Down_Tilt_Avg
TS,RN,Volts,Deg C,degrees,meters/Second,meters/Second,meters/Second,,,,,,,,,Deg C,Deg C,%,%,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,mm,unitless,unitless,m^3/m^3,m^3/m^3,Deg C,Deg C,unitless,unitless,m^3/m^3,m^3/m^3,Deg C,Deg C,unitless,unitless,m^3/m^3,m^3/m^3,Deg C,Deg C,unitless,unitless,m^3/m^3,m^3/m^3,Deg C,Deg C,unitless,unitless,m^3/m^3,m^3/m^3,Deg C,Deg C,unitless,unitless,m^3/m^3,m^3/m^3,Deg C,Deg C,unitless,unitless,m^3/m^3,m^3/m^3,Deg C,Deg C,unitless,unitless,m^3/m^3,m^3/m^3,Deg C,Deg C,unitless,unitless,m^3/m^3,m^3/m^3,Deg C,Deg C,umol/m2s1,umol/m2s1,umol/m2s1,umol/m2s1,umol/m2s1,umol/m2s1,W/m^2 nm sr,W/m^2 nm sr,W/m^2 nm sr,W/m^2 nm sr,,W/m^2 nm sr,W/m^2 nm sr,W/m^2 nm sr,W/m^2 nm sr,
,,Min,Avg,Smp,Avg,Max,Std,Tot,Tot,Tot,Tot,Tot,Tot,Tot,Tot,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Tot,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Avg,Std,Avg,Std,Avg
2017-01-11 15:30:00,27784,13.23,-3.786,136.7,1.016,NaN,0.405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.711,0.086,80.8,NaN,-7.073,0.057,-4.168,0.212,-3.727,0.227,0,NaN,NaN,0.086,0,0.539,0.081,NaN,NaN,0.093,0,0.281,0.049,NaN,NaN,0.119,0,0.508,0.046,NaN,NaN,0.078,0,-0.786,0.024,NaN,NaN,0.071,0,-0.479,0.02,NaN,NaN,0.157,0,0.375,0.018,NaN,NaN,0.081,0,-0.279,0.019,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0.1,0,0.492,0.028,140.3,12.66,20.53,3.143,71.08,7.817,0.004,0,0.005,0.001,1,0.003,0,0.003,0,1
2017-01-11 15:45:00,27785,13.87,-4.33,84.7,1.053,NaN,0.345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.682,0.081,81.8,NaN,-7.035,0.042,-3.993,0.272,-3.545,0.288,0,NaN,NaN,0.086,0,0.298,0.069,NaN,NaN,0.093,0,0.181,0.047,NaN,NaN,0.119,0,0.517,0.03,NaN,NaN,0.078,0,-0.777,0.015,NaN,NaN,0.071,0,-0.46,0.016,NaN,NaN,0.157,0,0.377,0.014,NaN,NaN,0.08,0,-0.321,0.017,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0.1,0,0.502,0.025,159.8,19.43,25.05,5.066,80.3,10.95,0.005,0.001,0.007,0.001,1,0.004,0.001,0.004,0.001,1
2017-01-11 16:00:00,27786,13.2,-4.754,102.1,1.067,NaN,0.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.949,0.12,83.6,NaN,-7.408,0.199,-5.335,0.213,-4.938,0.214,0,NaN,NaN,0.086,0,0.138,0.042,NaN,NaN,0.093,0,0.061,0.038,NaN,NaN,0.119,0,0.521,0.028,NaN,NaN,0.078,0,-0.773,0.016,NaN,NaN,0.072,0,-0.448,0.019,NaN,NaN,0.157,0,0.369,0.012,NaN,NaN,0.08,0,-0.343,0.02,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0.1,0,0.485,0.027,86.7,12.29,14.89,2.41,42.43,6.286,0.003,0.001,0.004,0.001,1,0.002,0,0.002,0,1
2017-01-11 16:15:00,27787,13.03,-5.201,146.3,0.465,NaN,0.257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-8.22,0.123,86.1,NaN,-7.92,0.139,-6.219,0.317,-5.836,0.328,0,NaN,NaN,0.086,0,-0.013,0.057,NaN,NaN,0.093,0,-0.014,0.036,NaN,NaN,0.119,0,0.521,0.032,NaN,NaN,0.078,0,-0.778,0.02,NaN,NaN,0.072,0,-0.437,0.018,NaN,NaN,0.157,0,0.383,0.019,NaN,NaN,0.08,0,-0.375,0.029,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0.1,0,0.493,0.031,49.88,12.51,7.899,2.943,23.47,6.71,0.001,0.001,0.002,0.001,1,0.001,0.001,0.001,0,1
2017-01-11 16:30:00,27788,12.98,-5.66,188.5,0.273,NaN,0.347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-8.43,0.03,86.3,NaN,-8.33,0.044,-6.616,0.042,-6.221,0.049,0,NaN,NaN,0.086,0,-0.171,0.044,NaN,NaN,0.093,0,-0.069,0.031,NaN,NaN,0.119,0,0.52,0.031,NaN,NaN,0.078,0,-0.794,0.017,NaN,NaN,0.072,0,-0.429,0.022,NaN,NaN,0.157,0,0.383,0.018,NaN,NaN,0.079,0,-0.408,0.026,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0.1,0,0.48,0.019,25.05,2.068,3.386,0,13.77,1.497,0.001,0,0.001,0,1,0.001,0,0.001,0,1
2017-01-11 16:45:00,27789,12.94,-6.05,222.5,0.237,NaN,0.289,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-8.41,0.106,87.4,NaN,-8.44,0.07,-7.201,0.409,-6.845,0.439,0,NaN,NaN,0.086,0,-0.293,0.029,NaN,NaN,0.093,0,-0.143,0.028,NaN,NaN,0.119,0,0.527,0.02,NaN,NaN,0.078,0,-0.82,0.025,NaN,NaN,0.072,0,-0.425,0.019,NaN,NaN,0.157,0,0.366,0.018,NaN,NaN,0.079,0,-0.439,0.017,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0.1,0,0.493,0.02,14.22,3.54,1.354,1.659,6.772,2.764,0,0,0.001,0,1,0.001,0,0,0,1
2017-01-11 17:00:00,27790,12.92,-6.41,263.1,0.27,NaN,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-8.58,0.056,86.8,NaN,-8.68,0.026,-7.542,0.068,-7.189,0.076,0,NaN,NaN,0.086,0,-0.362,0.02,NaN,NaN,0.093,0,-0.203,0.026,NaN,NaN,0.119,0,0.514,0.031,NaN,NaN,0.077,0,-0.839,0.019,NaN,NaN,0.072,0,-0.409,0.013,NaN,NaN,0.157,0,0.367,0.02,NaN,NaN,0.078,0,-0.444,0.029,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0.1,0,0.496,0.02,2.709,2.534,0,0,-0.677,1.834,0,0,0,0,1,0,0,0,0,1
2017-01-11 17:15:00,27791,12.91,-6.728,211,0.45,NaN,0.327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-8.45,0.044,85.9,NaN,-8.67,0.025,-7.599,0.073,-7.253,0.081,0,NaN,NaN,0.085,0,-0.375,0.019,NaN,NaN,0.092,0,-0.244,0.031,NaN,NaN,0.119,0,0.52,0.031,NaN,NaN,0.077,0,-0.872,0.029,NaN,NaN,0.072,0,-0.418,0.02,NaN,NaN,0.157,0,0.372,0.022,NaN,NaN,0.078,0,-0.468,0.018,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0.1,0,0.486,0.028,-2.483,1.498,-0.452,1.151,-3.386,0,0,0,0,0,1,0,0,0,0,1
