Station,Last_date,Stop_DQC,Last_Modification
B1_new,2018-01-30 08:15,0,2018-01-30 08:20
B1_old,2018-01-30 08:15,0,2018-01-30 08:20
B2,2018-01-30 07:00,0,2018-01-30 07:11
B3,2017-12-08 15:15,0,2017-12-08 15:15
I1,2018-01-29 20:00,0,2018-01-29 20:13
I3,2018-01-30 08:15,0,2018-01-30 08:29
M1,2018-01-30 08:15,0,2018-01-30 08:21
M2,2018-01-30 08:15,0,2018-01-30 08:22
M3,2017-11-23 13:15,0,2017-11-23 13:19
M4,NA,0,NA
M4s,2018-01-30 08:15,0,2018-01-30 08:25
M5,2018-01-30 08:15,0,2018-01-30 08:26
P1,2018-01-30 07:15,0,2018-01-30 07:14
P2,2018-01-30 08:00,0,2018-01-30 08:09
P3,NA,0,NA
S2,2018-01-30 07:15,0,2018-01-30 07:27
S3,2018-01-29 19:00,0,2018-01-29 19:06
S4,2018-01-30 08:00,0,2018-01-30 08:07
XS6,2017-06-15 13:15,0,2017-07-19 15:15
