Station,Last.date
B1_1000_new,2017-01-21 10:30
B1_1000_old,2017-01-21 10:30
B2_1500_new,2017-03-23 08:15
B2_1500_old,2017-03-23 08:15
B2_1500_tot,2017-05-18 15:30
B3_2000_old,2017-03-21 18:15
B3_2000_new,2017-02-16 11:15
B3_2000_tot,2017-06-15 16:00
I1,2017-03-21 19:15
I3,2017-03-20 18:00
LTER_vimes1500_before,2017-03-22 18:00
P1,2017-03-21 19:15
P2,2017-03-14 11:45
P3,2017-01-01 00:00
M1,2016-12-06 10:45
M2,2017-03-22 18:15
M3,2016-11-03 14:15
M4,2017-02-16 13:00
M4_snow,2017-02-16 13:00
S2,2016-12-06 15:45
S3,2017-03-08 11:30
S4,2017-03-20 10:00
XS6,2016-12-06 11:45
domef1500,2017-03-07 13:45
domef2000,2017-03-07 16:15
domes1500,2017-03-07 14:00
domes2000,2017-02-15 15:00
dopas2000,2017-03-07 15:00
nemef1500,2017-03-06 14:45
nemef2000,2017-03-06 12:00
nemes1500,2017-03-22 08:30
nemes2000,2017-03-07 09:15
nepas2000,2017-03-07 13:00
vimef1500,2017-03-07 11:00
vimef2000,2017-03-07 10:45
vimes1500,2017-03-07 11:15
vimes2000,2017-02-07 12:15
vipas2000,2017-02-15 14:15
