Variable,min,max
Air_RH_Avg,     -50,    150
Air_RH_Std,      NA,     NA
Air_T_Avg,     -50,    100
Air_T_Std,      NA,     NA
AirTemp_Avg,     -50,    100
AirTemp_Std,      NA,     NA
Albedo_Avg,      -1,      2
Albedo_Std,      NA,     NA
ATT_C_Avg,     -50,    100
ATT_C_Std,      NA,     NA
Batt_V_Avg,      -1,     50
Batt_V_Min,      -1,     50
Batt_Volt_Avg,      -1,     50
Batt_Volt_Min,      -1,     50
BattV_Avg,      -1,     50
BattV_Min,      -1,     50
Body_T_Avg,     -50,    100
Body_T_Std,      NA,     NA
CTT_C_Avg,     -50,    100
CTT_C_Std,      NA,     NA
diag_1_TOT,      NA,     NA
diag_10_TOT,      NA,     NA
diag_2_TOT,      NA,     NA
diag_4_TOT,      NA,     NA
diag_8_TOT,      NA,     NA
diag_9_TOT,      NA,     NA
DnTot_Avg,    -500,   2000
DnTot_Std,      NA,     NA
IR01Dn_Avg,    -500,    500
IR01Dn_Std,      NA,     NA
IR01DnCo_Avg,    -100,   1000
IR01DnCo_Std,      NA,     NA
IR01Up_Avg,    -500,    500
IR01Up_Std,      NA,     NA
IR01UpCo_Avg,    -100,   1000
IR01UpCo_Std,      NA,     NA
Log_T_Avg,     -50,    100
LWM_Con_Tot,       0,     15
LWM_Dry_Tot,       0,     15
LWM_Wet_Tot,       0,     15
LWMCon_Tot,       0,     15
LWMDry_Tot,       0,     15
LWmV_Max,     200,   3000
LWmV_Min,     200,   3000
LWmV_Std,      NA,     NA
LWMWet_Tot,       0,     15
mean_wind_direction,     -50,    400
mean_wind_speed,      -5,     50
n_TOT,      NA,     NA
NDVI_Avg,      -2,      2
NDVI_Dn_NIR_Avg,      -1,     10
NDVI_Dn_NIR_Std,      NA,     NA
NDVI_Dn_Red_Avg,      -1,     10
NDVI_Dn_Red_Std,      NA,     NA
NDVI_Dn_Tilt_Avg,       0,      2
NDVI_DnNIR_Avg,      -1,     10
NDVI_DnNIR_Std,      NA,     NA
NDVI_DnRed_Avg,      -1,     10
NDVI_DnRed_Std,      NA,     NA
NDVI_Down_NIR_Avg,      -1,     10
NDVI_Down_NIR_Std,      NA,     NA
NDVI_Down_Red_Avg,      -1,     10
NDVI_Down_Red_Std,      NA,     NA
NDVI_Down_Tilt_Avg,       0,      2
NDVI_DownNIR_Avg,      -1,     10
NDVI_DownNIR_Std,      NA,     NA
NDVI_DownRed_Avg,      -1,     10
NDVI_DownRed_Std,      NA,     NA
NDVI_Ind1_Avg,       0,      2
NDVI_Ind2_Avg,       0,      2
NDVI_Std,      NA,     NA
NDVI_Up_NIR_Avg,      -1,     10
NDVI_Up_NIR_Std,      NA,     NA
NDVI_Up_Red_Avg,      -1,     10
NDVI_Up_Red_Std,      NA,     NA
NDVI_Up_Tilt_Avg,       0,      2
NDVI_UpNIR_Avg,      -1,     10
NDVI_UpNIR_Std,      NA,     NA
NDVI_UpRed_Avg,      -1,     10
NDVI_UpRed_Std,      NA,     NA
NetRl_Avg,   -1000,   2000
NetRl_Std,      NA,     NA
NetRs_Avg,   -1000,   2000
NetRs_Std,      NA,     NA
NetTot_Avg,   -1000,   2000
NetTot_Std,      NA,     NA
no_data_TOT,      NA,     NA
NR_Albedo_Avg,      -1,      2
NR_Albedo_Std,      NA,     NA
NR_LW_Dn_Avg,    -500,    500
NR_LW_Dn_Comp_Avg,    -100,   1000
NR_LW_Dn_Comp_Std,      NA,     NA
NR_LW_Dn_Std,      NA,     NA
NR_LW_Net_Avg,   -1000,   2000
NR_LW_Net_Std,      NA,     NA
NR_LW_Up_Avg,    -500,    500
NR_LW_Up_Comp_Avg,    -100,   1000
NR_LW_Up_Comp_Std,      NA,     NA
NR_LW_Up_Std,      NA,     NA
NR_SW_Dn_Avg,    -500,   2000
NR_SW_Dn_Std,      NA,     NA
NR_SW_Net_Avg,   -1000,   2000
NR_SW_Net_Std,      NA,     NA
NR_SW_Up_Avg,    -500,   2000
NR_SW_Up_Std,      NA,     NA
NR_TC_Avg,     -50,    100
NR_TC_Std,      NA,     NA
NR_Tot_Dn_Avg,    -500,   2000
NR_Tot_Dn_Std,      NA,     NA
NR_Tot_Net_Avg,   -1000,   2000
NR_Tot_Net_Std,      NA,     NA
NR_Tot_Up_Avg,    -500,   2000
NR_Tot_Up_Std,      NA,     NA
NR01TC_Avg,     -50,    100
NR01TC_Std,      NA,     NA
NR01TK_Avg,     200,    350
NR01TK_Std,      NA,     NA
PAR_Avg,   -1000,   4000
PAR_Dif_Avg,   -1000,   4000
PAR_Dif_Std,      NA,     NA
PAR_diff_Avg,   -1000,   4000
PAR_diff_Std,      NA,     NA
PAR_Dn_L_Avg,   -1000,   4000
PAR_Dn_L_Std,      NA,     NA
PAR_Dn_T_Avg,   -1000,   4000
PAR_Dn_T_Std,      NA,     NA
PAR_SnowHeight_00_Avg,   -1000,   4000
PAR_SnowHeight_00_Std,      NA,     NA
PAR_SnowHeight_20_Avg,   -1000,   4000
PAR_SnowHeight_20_Std,      NA,     NA
PAR_Soil_Avg,   -1000,   4000
PAR_Soil_In_Avg,   -1000,   4000
PAR_Soil_In_Std,      NA,     NA
PAR_Soil_Out_Avg,   -1000,   4000
PAR_Soil_Out_Std,      NA,     NA
PAR_Soil_Std,      NA,     NA
PAR_Std,      NA,     NA
PAR_Tot_Avg,   -1000,   4000
PAR_Tot_Std,      NA,     NA
PAR_Up_Avg,   -1000,   4000
PAR_up_diff_Avg,   -1000,   4000
PAR_up_diff_Std,      NA,     NA
PAR_Up_Std,      NA,     NA
PARdn_Avg,   -1000,   4000
PARdn_IN_Avg,   -1000,   4000
PARdn_IN_Std,      NA,     NA
PARdn_OUT_Avg,   -1000,   4000
PARdn_OUT_Std,      NA,     NA
PARdn_Std,      NA,     NA
PARdnPlot1_Avg,   -1000,   4000
PARdnPlot1_Std,      NA,     NA
PARdnPlot2_Avg,   -1000,   4000
PARdnPlot2_Std,      NA,     NA
PARdnPlot3_Avg,   -1000,   4000
PARdnPlot3_Std,      NA,     NA
PARsoil_20cm_Avg,   -1000,   4000
PARsoil_20cm_Std,      NA,     NA
PARsoil_L_Avg,   -1000,   4000
PARsoil_L_Std,      NA,     NA
PARsoil_LI_Avg,   -1000,   4000
PARsoil_LI_Std,      NA,     NA
PARsoil_LS_Avg,   -1000,   4000
PARsoil_LS_Std,      NA,     NA
PARsoil_LSm_Avg,   -1000,   4000
PARsoil_LSm_Std,      NA,     NA
PARsoil_LSn_Avg,   -1000,   4000
PARsoil_LSn_Std,      NA,     NA
PARsoil_LSn2_Avg,   -1000,   4000
PARsoil_LSn2_Std,      NA,     NA
PARsoil_LSn3_Avg,   -1000,   4000
PARsoil_LSn3_Std,      NA,     NA
PARsoil_LSp_Avg,   -1000,   4000
PARsoil_LSp_Std,      NA,     NA
PARsoil_LSt_Avg,   -1000,   4000
PARsoil_LSt_Std,      NA,     NA
PARsoil_TSn_Avg,   -1000,   4000
PARsoil_TSn_Std,      NA,     NA
PARsoil_TSn2_Avg,   -1000,   4000
PARsoil_TSn2_Std,      NA,     NA
PARsoil_TSn3_Avg,   -1000,   4000
PARsoil_TSn3_Std,      NA,     NA
PARsoil_TSt_Avg,   -1000,   4000
PARsoil_TSt_Std,      NA,     NA
PARup_Avg,   -1000,   4000
PARup_diff_Avg,   -1000,   4000
PARup_Std,      NA,     NA
PARup_tot_Avg,   -1000,   4000
pippo,-1000000,1000000
Pluviometer_Level,     -20,    150
Precip_Bucket_Level_NRT_Lt,     -10,    100
Precip_Bucket_Level_NRT_Perc,     -20,    150
Precip_Bucket_Level_RT_Lt,     -10,    100
Precip_CS_Tot,      NA,     NA
Precip_ElectronicUnit_T_Avg,     -50,    100
Precip_ElectronicUnit_T_Std,      NA,     NA
Precip_Heater_Status,      NA,     NA
Precip_Int_Avg,      -1,   1000
Precip_Int_Max,      -1,   1000
Precip_Int_Std,      NA,     NA
Precip_LoadCell_T_Avg,     -50,    100
Precip_LoadCell_T_Std,      NA,     NA
Precip_NRT_Cum,      -1,    Inf
Precip_NRT_Tot,      -1,    100
Precip_Pluvio_Status,      NA,     NA
Precip_Pluvio_V_Avg,      -1,     50
Precip_Pluvio_V_Std,      NA,     NA
Precip_Rim_T_Avg,     -50,    100
Precip_Rim_T_Std,      NA,     NA
Precip_RT_NRT_Tot,      -1,    100
Precip_soil_CI_Tot,      -1,    100
Precip_soil_CS_Tot,      -1,    100
Precip_T_Int15_Tot,      -1,    100
Precip_Tot,      -1,    100
Precipitation__Tot,      -1,    100
Precipitation_BucketContent,     -10,    100
Precipitation_BucketContent_NRT,     -10,    100
Precipitation_HeaterStatus,      NA,     NA
Precipitation_Intensity_Avg,      -1,   1000
Precipitation_Intensity_Max,      -1,   1000
Precipitation_Intensity_Std,      NA,     NA
Precipitation_NRT_CK,      -1,  10000
Precipitation_NRT_Tot,      -1,    100
Precipitation_PluvioStatus,      NA,     NA
Precipitation_SupplyVoltage_Avg,      -1,     50
Precipitation_SupplyVoltage_Std,      NA,     NA
Precipitation_T_Cell_Avg,     -50,    100
Precipitation_T_Cell_Std,      NA,     NA
Precipitation_T_ElectricUnit_Avg,     -50,    100
Precipitation_T_ElectricUnit_Std,      NA,     NA
Precipitation_T_HeatingRim_Avg,     -50,    100
Precipitation_T_HeatingRim_Std,      NA,     NA
PRI_Avg,      -2,      2
PRI_Dn_Green_Avg,      -1,     10
PRI_Dn_Green_Std,      NA,     NA
PRI_Dn_Tilt_Avg,       0,      2
PRI_Dn_Yellow_Avg,      -1,     10
PRI_Dn_Yellow_Std,      NA,     NA
PRI_DnNIR_Avg,      -1,     10
PRI_DnNIR_Std,      NA,     NA
PRI_DnRed_Avg,      -1,     10
PRI_DnRed_Std,      NA,     NA
PRI_Down_Green_Avg,      -1,     10
PRI_Down_Green_Std,      NA,     NA
PRI_Down_Tilt_Avg,       0,      2
