Variable,min,max,to_set
Air_RH_Avg,-50,150,
Air_RH_Std,,,
Air_T_Avg,-100,100,
AirTemp_Avg,-100,100,
AirTemp_Std,,,
Air_T_Std,,,
Albedo_Avg,-1,2,
Albedo_Std,,,
ATT_C_Avg,-100,100,
ATT_C_Std,,,
Batt_V_Avg,-1,50,
BattV_Avg,-1,50,
Batt_V_Min,-1,50,
BattV_Min,-1,50,
Batt_Volt_Avg,-1,50,
Batt_Volt_Min,-1,50,
Body_T_Avg,-100,100,
Body_T_Std,,,
CTT_C_Avg,-100,100,
CTT_C_Std,,,
diag_10_TOT,,,
diag_1_TOT,,,
diag_2_TOT,,,
diag_4_TOT,,,
diag_8_TOT,,,
diag_9_TOT,,,
DnTot_Avg,-500,2000,
DnTot_Std,,,
IR01Dn_Avg,-500,500,
IR01DnCo_Avg,-100,1000,
IR01DnCo_Std,,,
IR01Dn_Std,,,
IR01Up_Avg,-500,500,
IR01UpCo_Avg,-100,1000,
IR01UpCo_Std,,,
IR01Up_Std,,,
Log_T_Avg,-100,100,
LWM_Con_Tot,0,15,
LWMCon_Tot,0,15,
LWM_Dry_Tot,0,15,
LWMDry_Tot,0,15,
LWmV_Max,200,3000,
LWmV_Min,200,3000,
LWmV_Std,,,
LWM_Wet_Tot,0,15,
LWMWet_Tot,0,15,
mean_wind_direction,-50,400,
mean_wind_speed,-5,50,
NDVI_Avg,-2,2,
NDVI_Dn_NIR_Avg,-1,10,
NDVI_DnNIR_Avg,-1,10,
NDVI_Dn_NIR_Std,,,
NDVI_DnNIR_Std,,,
NDVI_Dn_Red_Avg,-1,10,
NDVI_DnRed_Avg,-1,10,
NDVI_Dn_Red_Std,,,
NDVI_DnRed_Std,,,
NDVI_Dn_Tilt_Avg,0,2,
NDVI_Down_NIR_Avg,-1,10,
NDVI_DownNIR_Avg,-1,10,
NDVI_Down_NIR_Std,,,
NDVI_DownNIR_Std,,,
NDVI_Down_Red_Avg,-1,10,
NDVI_DownRed_Avg,-1,10,
NDVI_Down_Red_Std,,,
NDVI_DownRed_Std,,,
NDVI_Down_Tilt_Avg,0,2,
NDVI_Ind1_Avg,0,2,
NDVI_Ind2_Avg,0,2,
NDVI_Std,,,
NDVI_Up_NIR_Avg,-1,10,
NDVI_UpNIR_Avg,-1,10,
NDVI_Up_NIR_Std,,,
NDVI_UpNIR_Std,,,
NDVI_Up_Red_Avg,-1,10,
NDVI_UpRed_Avg,-1,10,
NDVI_Up_Red_Std,,,
NDVI_UpRed_Std,,,
NDVI_Up_Tilt_Avg,0,2,
NetRl_Avg,-1000,2000,
NetRl_Std,,,
NetRs_Avg,-1000,2000,
NetRs_Std,,,
NetTot_Avg,-1000,2000,
NetTot_Std,,,
no_data_TOT,,,
NR01TC_Avg,-100,100,
NR01TC_Std,,,
NR01TK_Avg,220,370,
NR01TK_Std,,,
NR_Albedo_Avg,-1,2,
NR_Albedo_Std,,,
NR_Dn_Tot_Avg,-1000,2000,
NR_Dn_Tot_Std,,,
NR_LW_Dn_Avg,-500,500,
NR_LW_Dn_Comp_Avg,-100,1000,
NR_LW_Dn_Comp_Std,,,
NR_LW_Dn_Std,,,
NR_LW_Net_Avg,-1000,2000,
NR_LW_Net_Std,,,
NR_LW_Up_Avg,-500,500,
NR_LW_Up_Comp_Avg,-100,1000,
NR_LW_Up_Comp_Std,,,
NR_LW_Up_Std,,,
NR_SW_Dn_Avg,-500,2000,
NR_SW_Dn_Std,,,
NR_SW_Net_Avg,-1000,2000,
NR_SW_Net_Std,,,
NR_SW_Up_Avg,-500,2000,
NR_SW_Up_Std,,,
NR_TC_Avg,-100,100,
NR_TC_Std,,,
NR_TK_Avg,220,370,
NR_TK_Std,,,
NR_Tot_Dn_Avg,-500,2000,
NR_Tot_Dn_Std,,,
NR_Tot_Net_Avg,-1000,2000,
NR_Tot_Net_Std,,,
NR_Tot_Up_Avg,-500,2000,
NR_Tot_Up_Std,,,
NR_Up_Tot_Avg,-1000,2000,
NR_Up_Tot_Std,,,
n_TOT,,,
PAR_Avg,-1000,4000,
PAR_Dif_Avg,-1000,4000,
PAR_diff_Avg,-1000,4000,
PAR_diff_Std,,,
PAR_Dif_Std,,,
PARdn_Avg,-1000,4000,
PARdn_IN_Avg,-1000,4000,
PARdn_IN_Std,,,
PAR_Dn_L_Avg,-1000,4000,
PAR_Dn_L_Std,,,
PARdn_OUT_Avg,-1000,4000,
PARdn_OUT_Std,,,
PARdnPlot1_Avg,-1000,4000,
PARdnPlot1_Std,,,
PARdnPlot2_Avg,-1000,4000,
PARdnPlot2_Std,,,
PARdnPlot3_Avg,-1000,4000,
PARdnPlot3_Std,,,
PARdn_Std,,,
PAR_Dn_T_Avg,-1000,4000,
PAR_Dn_T_Std,,,
PAR_SnowHeight_00_Avg,-1000,4000,
PAR_SnowHeight_00_Std,,,
PAR_SnowHeight_20_Avg,-1000,4000,
PAR_SnowHeight_20_Std,,,
PARsoil_20cm_Avg,-1000,4000,
PARsoil_20cm_Std,,,
PAR_Soil_A_Avg,-1000,4000,
PAR_Soil_A_Std,,,
PAR_Soil_Avg,-1000,4000,
PAR_Soil_B_Avg,-1000,4000,
PAR_Soil_B_Std,,,
PAR_Soil_C_Avg,-1000,4000,
PAR_Soil_C_Std,,,
PAR_Soil_In_Avg,-1000,4000,
PAR_Soil_In_Std,,,
PARsoil_L_Avg,-1000,4000,
PARsoil_LI_Avg,-1000,4000,
PARsoil_LI_Std,,,
PARsoil_LS_Avg,-1000,4000,
PARsoil_LSm_Avg,-1000,4000,
PARsoil_LSm_Std,,,
PARsoil_LSn2_Avg,-1000,4000,
PARsoil_LSn2_Std,,,
PARsoil_LSn3_Avg,-1000,4000,
PARsoil_LSn3_Std,,,
PARsoil_LSn_Avg,-1000,4000,
PARsoil_LSn_Std,,,
PARsoil_LSp_Avg,-1000,4000,
PARsoil_LSp_Std,,,
PARsoil_LS_Std,,,
PARsoil_LSt_Avg,-1000,4000,
PARsoil_L_Std,,,
PARsoil_LSt_Std,,,
PAR_Soil_Out_Avg,-1000,4000,
PAR_Soil_Out_Std,,,
PAR_Soil_SH_20_Avg,,,
PAR_Soil_SH_20_Std,,,
PAR_Soil_Std,,,
PARsoil_TSn2_Avg,-1000,4000,
PARsoil_TSn2_Std,,,
PARsoil_TSn3_Avg,-1000,4000,
PARsoil_TSn3_Std,,,
PARsoil_TSn_Avg,-1000,4000,
PARsoil_TSn_Std,,,
PARsoil_TSt_Avg,-1000,4000,
PARsoil_TSt_Std,,,
PAR_Std,,,
PAR_Tot_Avg,-1000,4000,
PAR_Tot_Std,,,
PARup_Avg,-1000,4000,
PAR_Up_Avg,-1000,4000,
PAR_up_diff_Avg,-1000,4000,
PARup_diff_Avg,-1000,4000,
PAR_up_diff_Std,,,
PARup_Std,,,
PAR_Up_Std,,,
PARup_tot_Avg,-1000,4000,
Pluvio_Level,-3,300,
Pluviometer_Level,-3,300,
Precip_Bucket_Level_NRT_Lt,-1,100,
Precip_Bucket_Level_NRT_Perc,-3,300,
Precip_Bucket_Level_RT_Lt,-1,100,
Precip_CS_Tot,0,500,
Precip_ElectronicUnit_T_Avg,-50,100,
Precip_ElectronicUnit_T_Std,,,
Precip_Heater_Status,,,
Precip_Int_Avg,-1,1000,
Precip_Int_Max,-1,1000,
Precip_Int_Std,,,
Precipitation_BucketContent,-1,100,
Precipitation_BucketContent_NRT,-1,100,
Precipitation_HeaterStatus,,,
Precipitation_Intensity_Avg,-1,1000,
Precipitation_Intensity_Max,-1,1000,
Precipitation_Intensity_Std,,,
Precipitation_NRT_CK,-1,Inf,
Precipitation_NRT_Tot,-1,500,
Precipitation_PluvioStatus,,,
Precipitation_SupplyVoltage_Avg,-1,50,
Precipitation_SupplyVoltage_Std,,,
Precipitation_T_Cell_Avg,-100,100,
Precipitation_T_Cell_Std,,,
Precipitation_T_ElectricUnit_Avg,-100,100,
Precipitation_T_ElectricUnit_Std,,,
Precipitation_T_HeatingRim_Avg,-100,100,
Precipitation_T_HeatingRim_Std,,,
Precipitation__Tot,-1,500,
Precip_LoadCell_T_Avg,-100,100,
Precip_LoadCell_T_Std,,,
Precip_NRT_Cum,-1,Inf,
Precip_NRT_Tot,-1,500,
Precip_Pluvio_Status,,,
Precip_Pluvio_V_Avg,-1,50,
Precip_Pluvio_V_Std,,,
Precip_Rim_T_Avg,-100,100,
Precip_Rim_T_Std,,,
Precip_RT_NRT_Tot,-1,500,
Precip_soil_CI_Tot,-1,500,
Precip_soil_CS_Tot,-1,500,
Precip_T_Int15_Tot,-1,500,
Precip_Tot,-1,500,
Precip_W_BucketCont,-1,100,
Precip_W_BucketCont_NRT,-1,100,
Precip_W_HeatStat,,,
Precip_W_Int15_CK,-1,Inf,
Precip_W_Int15_NRT_CK,-1,Inf,
Precip_W_Int15_NRT_Tot,-1,500,
Precip_W_Int15_Tot,-1,500,
Precip_W_Int60_Avg,,,1
Precip_W_Int60_Max,,,1
Precip_W_Int60_Std,,,
Precip_W_Pluvio_Level,-3,300,
Precip_W_PluvioStat,,,
Precip_W_SupplyV_Avg,,,1
Precip_W_SupplyV_Std,,,
Precip_W_T_Cell_Avg,-100,100,
Precip_W_T_Cell_Std,,,
Precip_W_T_ElectricUnit_Avg,-50,100,
Precip_W_T_ElectricUnit_Std,,,
Precip_W_T_HeatRim_Avg,-100,100,
Precip_W_T_HeatRim_Std,,,
Precip_W_T_SupplyV_Avg,,,1
Precip_W_T_SupplyV_Std,,,
PRI_Avg,-2,2,
PRI_Dn_Green_Avg,-1,10,
PRI_Dn_Green_Std,,,
PRI_DnNIR_Avg,-1,10,
PRI_DnNIR_Std,,,
PRI_DnRed_Avg,-1,10,
PRI_DnRed_Std,,,
PRI_Dn_Tilt_Avg,0,2,
PRI_Dn_Yellow_Avg,-1,10,
PRI_Dn_Yellow_Std,,,
PRI_Down_Green_Avg,-1,10,
PRI_Down_Green_Std,,,
PRI_DownNIR_Avg,-1,10,
PRI_DownNIR_Std,,,
PRI_DownRed_Avg,-1,10,
PRI_DownRed_Std,,,
PRI_Down_Tilt_Avg,0,2,
PRI_Down_Yellow_Avg,-1,10,
PRI_Down_Yellow_Std,,,
PRI_Ind1_Avg,0,2,
PRI_Ind2_Avg,0,2,
PRI_Std,,,
PRI_Up_Green_Avg,-1,10,
PRI_Up_Green_Std,,,
PRI_UpNIR_Avg,-1,10,
PRI_UpNIR_Std,,,
PRI_UpRed_Avg,-1,10,
PRI_UpRed_Std,,,
PRI_Up_Tilt_Avg,0,2,
PRI_Up_Yellow_Avg,-1,10,
PRI_Up_Yellow_Std,,,
PTemp_C_Avg,-50,100,
Rain_mm_Tot,-1,100,
Rain_Tot,-1,100,
