TOA5,HiResAlp_I3 IP,CR1000,E7549,CR1000.Std.27,CPU:I3_160923 - 9xSWC - modem .CR1,21874,MeteoVal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,BattV_Avg,PTemp_C_Avg,SWC_02_A_Avg,SWC_02_A_Std,ST_02_A_Avg,ST_02_A_Std,SWC_02_B_Avg,SWC_02_B_Std,ST_02_B_Avg,ST_02_B_Std,SWC_02_C_Avg,SWC_02_C_Std,ST_02_C_Avg,ST_02_C_Std,SWC_05_A_Avg,SWC_05_A_Std,ST_05_A_Avg,ST_05_A_Std,SWC_05_B_Avg,SWC_05_B_Std,ST_05_B_Avg,ST_05_B_Std,SWC_05_C_Avg,SWC_05_C_Std,ST_05_C_Avg,ST_05_C_Std,SWC_20_A_Avg,SWC_20_A_Std,ST_20_A_Avg,ST_20_A_Std,SWC_20_B_Avg,SWC_20_B_Std,ST_20_B_Avg,ST_20_B_Std,SWC_20_C_Avg,SWC_20_C_Std,ST_20_C_Avg,ST_20_C_Std
TS,RN,Volts,Deg C,m^3/m^3,m^3/m^3,Deg C,Deg C,m^3/m^3,m^3/m^3,Deg C,Deg C,m^3/m^3,m^3/m^3,Deg,Deg,m^3/m^3,m^3/m^3,Deg C,Deg C,m^3/m^3,m^3/m^3,Deg C,Deg C,m^3/m^3,m^3/m^3,Deg C,Deg C,m^3/m^3,m^3/m^3,Deg C,Deg C,m^3/m^3,m^3/m^3,Deg C,Deg C,m^3/m^3,m^3/m^3,Deg,Deg
,,Avg,Avg,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std
2018-01-01 00:00,91063,12.95,-0.878,0.388,0,0.18,0.023,0.436,0,0.173,0.021,0.42,0,0.273,0.021,0.383,0,0.362,0.012,0.424,0,0.287,0.015,0.403,0,0.44,0.018,0.208,0,0.991,0.02,0.244,0,0.847,0.027,0.31,0,0.909,0.027
2018-01-01 00:15,91064,12.9,-0.893,0.389,0,0.176,0.018,0.436,0,0.179,0.022,0.42,0,0.275,0.02,0.383,0,0.37,0.024,0.424,0,0.291,0.015,0.403,0,0.443,0.018,0.208,0,0.986,0.027,0.244,0,0.851,0.019,0.31,0,0.902,0.02
2018-01-01 00:30,91065,12.88,-0.888,0.389,0,0.172,0.021,0.436,0,0.172,0.017,0.42,0,0.278,0.019,0.383,0,0.362,0.013,0.424,0,0.293,0.017,0.403,0,0.433,0.022,0.208,0,0.985,0.027,0.244,0,0.845,0.018,0.31,0,0.912,0.034
2018-01-01 00:45,91066,12.93,-0.959,0.389,0,0.185,0.019,0.436,0,0.172,0.019,0.42,0,0.268,0.012,0.383,0,0.366,0.018,0.424,0,0.305,0.019,0.403,0,0.432,0.021,0.208,0,0.982,0.027,0.244,0,0.858,0.027,0.31,0,0.907,0.031
2018-01-01 01:00,91067,12.94,-1.089,0.389,0,0.182,0.019,0.436,0,0.185,0.015,0.42,0,0.279,0.015,0.383,0,0.369,0.019,0.424,0,0.289,0.017,0.403,0,0.444,0.017,0.208,0,0.994,0.023,0.244,0,0.856,0.018,0.311,0,0.904,0.021
2018-01-01 01:15,91068,12.9,-1.179,0.39,0,0.17,0.017,0.436,0,0.18,0.015,0.42,0,0.269,0.015,0.383,0,0.372,0.015,0.424,0,0.298,0.019,0.403,0,0.439,0.027,0.208,0,1.003,0.025,0.244,0,0.861,0.022,0.311,0,0.9,0.015
2018-01-01 01:30,91069,12.89,-1.164,0.39,0,0.174,0.022,0.436,0,0.177,0.02,0.42,0,0.274,0.019,0.383,0,0.361,0.018,0.424,0,0.3,0.028,0.403,0,0.442,0.015,0.208,0,0.985,0.027,0.245,0,0.848,0.023,0.311,0,0.905,0.024
2018-01-01 01:45,91070,12.92,-1.15,0.39,0,0.172,0.026,0.436,0,0.181,0.016,0.42,0,0.283,0.016,0.383,0,0.365,0.019,0.424,0,0.295,0.016,0.403,0,0.437,0.019,0.208,0,0.991,0.028,0.245,0,0.856,0.032,0.311,0,0.905,0.025
